ccode,cabbr,year,recruit,tmenlist,mil,estimate,version
2,USA,1816,1,,1,,2014
2,USA,1817,1,,1,,2014
2,USA,1818,1,,1,,2014
2,USA,1819,1,,1,,2014
2,USA,1820,1,,1,,2014
2,USA,1821,1,,1,,2014
2,USA,1822,1,,1,,2014
2,USA,1823,1,,1,,2014
2,USA,1824,1,,1,,2014
2,USA,1825,1,,1,,2014
2,USA,1826,1,,1,,2014
2,USA,1827,1,,1,,2014
2,USA,1828,1,,1,,2014
2,USA,1829,1,,1,,2014
2,USA,1830,1,,1,,2014
2,USA,1831,1,,1,,2014
2,USA,1832,1,,1,,2014
2,USA,1833,1,,1,,2014
2,USA,1834,1,,1,,2014
2,USA,1835,1,,1,,2014
2,USA,1836,1,,1,,2014
2,USA,1837,1,,1,,2014
2,USA,1838,1,,1,,2014
2,USA,1839,1,,1,,2014
2,USA,1840,1,,1,,2014
2,USA,1841,1,,1,,2014
2,USA,1842,1,,1,,2014
2,USA,1843,1,,1,,2014
2,USA,1844,1,,1,,2014
2,USA,1845,1,,1,,2014
2,USA,1846,1,,1,,2014
2,USA,1847,1,,1,,2014
2,USA,1848,1,,1,,2014
2,USA,1849,1,,1,,2014
2,USA,1850,1,,1,,2014
2,USA,1851,1,,1,,2014
2,USA,1852,1,,1,,2014
2,USA,1853,1,,1,,2014
2,USA,1854,1,,1,,2014
2,USA,1855,1,,1,,2014
2,USA,1856,1,,1,,2014
2,USA,1857,1,,1,,2014
2,USA,1858,1,,1,,2014
2,USA,1859,1,,1,,2014
2,USA,1860,1,,1,,2014
2,USA,1861,1,,1,,2014
2,USA,1862,1,,1,,2014
2,USA,1863,0,,1,,2014
2,USA,1864,0,,1,,2014
2,USA,1865,0,,1,,2014
2,USA,1866,1,,1,,2014
2,USA,1867,1,,1,,2014
2,USA,1868,1,,1,,2014
2,USA,1869,1,,1,,2014
2,USA,1870,1,,1,,2014
2,USA,1871,1,,1,,2014
2,USA,1872,1,,1,,2014
2,USA,1873,1,,1,,2014
2,USA,1874,1,,1,,2014
2,USA,1875,1,,1,,2014
2,USA,1876,1,,1,,2014
2,USA,1877,1,,1,,2014
2,USA,1878,1,,1,,2014
2,USA,1879,1,,1,,2014
2,USA,1880,1,,1,,2014
2,USA,1881,1,,1,,2014
2,USA,1882,1,,1,,2014
2,USA,1883,1,,1,,2014
2,USA,1884,1,,1,,2014
2,USA,1885,1,,1,,2014
2,USA,1886,1,,1,,2014
2,USA,1887,1,,1,,2014
2,USA,1888,1,,1,,2014
2,USA,1889,1,,1,,2014
2,USA,1890,1,,1,,2014
2,USA,1891,1,,1,,2014
2,USA,1892,1,,1,,2014
2,USA,1893,1,,1,,2014
2,USA,1894,1,,1,,2014
2,USA,1895,1,,1,,2014
2,USA,1896,1,,1,,2014
2,USA,1897,1,,1,,2014
2,USA,1898,1,,1,,2014
2,USA,1899,1,,1,,2014
2,USA,1900,1,,1,,2014
2,USA,1901,1,,1,,2014
2,USA,1902,1,,1,,2014
2,USA,1903,1,,1,,2014
2,USA,1904,1,,1,,2014
2,USA,1905,1,,1,,2014
2,USA,1906,1,,1,,2014
2,USA,1907,1,,1,,2014
2,USA,1908,1,,1,,2014
2,USA,1909,1,,1,,2014
2,USA,1910,1,,1,,2014
2,USA,1911,1,,1,,2014
2,USA,1912,1,,1,,2014
2,USA,1913,1,,1,,2014
2,USA,1914,1,,1,,2014
2,USA,1915,1,,1,,2014
2,USA,1916,1,,1,,2014
2,USA,1917,0,,1,,2014
2,USA,1918,0,,1,,2014
2,USA,1919,0,,1,,2014
2,USA,1920,1,,1,,2014
2,USA,1921,1,,1,,2014
2,USA,1922,1,,1,,2014
2,USA,1923,1,,1,,2014
2,USA,1924,1,,1,,2014
2,USA,1925,1,,1,,2014
2,USA,1926,1,,1,,2014
2,USA,1927,1,,1,,2014
2,USA,1928,1,,1,,2014
2,USA,1929,1,,1,,2014
2,USA,1930,1,,1,,2014
2,USA,1931,1,,1,,2014
2,USA,1932,1,,1,,2014
2,USA,1933,1,,1,,2014
2,USA,1934,1,,1,,2014
2,USA,1935,1,,1,,2014
2,USA,1936,1,,1,,2014
2,USA,1937,1,,1,,2014
2,USA,1938,1,,1,,2014
2,USA,1939,1,,1,,2014
2,USA,1940,0,21,1,,2014
2,USA,1941,0,21,1,,2014
2,USA,1942,0,21,1,,2014
2,USA,1943,0,21,1,,2014
2,USA,1944,0,21,1,,2014
2,USA,1945,0,21,1,,2014
2,USA,1946,0,21,1,,2014
2,USA,1947,0,21,1,,2014
2,USA,1948,0,21,1,,2014
2,USA,1949,0,21,1,,2014
2,USA,1950,0,21,1,,2014
2,USA,1951,0,21,1,,2014
2,USA,1952,0,21,1,,2014
2,USA,1953,0,21,1,,2014
2,USA,1954,0,21,1,,2014
2,USA,1955,0,21,1,,2014
2,USA,1956,0,21,1,,2014
2,USA,1957,0,21,1,,2014
2,USA,1958,0,21,1,,2014
2,USA,1959,0,24,1,,2014
